=== SPREAD MONITOR ===
Monitoring 1 pair(s)
Press Ctrl+C to stop

timestamp,pair,spread,hi_pool,tickA,tickB,ageA,ageB
# Fetching initial pool states...
2026-04-15T00:22:01.338Z,SOL/USDC,0.03563%,hi=ts=4,tickA=-24787,tickB=-24790,ageA=0.0s,ageB=0.1s
2026-04-15T00:22:01.348Z,SOL/USDC,0.03911%,hi=ts=4,tickA=-24787,tickB=-24790,ageA=0.0s,ageB=0.1s
2026-04-15T00:22:01.434Z,SOL/USDC,0.04113%,hi=ts=4,tickA=-24786,tickB=-24790,ageA=0.0s,ageB=0.2s
2026-04-15T00:22:01.535Z,SOL/USDC,0.04172%,hi=ts=4,tickA=-24786,tickB=-24790,ageA=0.0s,ageB=0.3s
2026-04-15T00:22:01.545Z,SOL/USDC,0.00536%,hi=ts=4,tickA=-24786,tickB=-24787,ageA=0.0s,ageB=0.0s
2026-04-15T00:22:01.686Z,SOL/USDC,0.00639%,hi=ts=4,tickA=-24786,tickB=-24787,ageA=0.0s,ageB=0.1s
2026-04-15T00:22:02.209Z,SOL/USDC,0.00692%,hi=ts=4,tickA=-24786,tickB=-24787,ageA=0.0s,ageB=0.7s
2026-04-15T00:22:02.223Z,SOL/USDC,0.00731%,hi=ts=4,tickA=-24786,tickB=-24787,ageA=0.0s,ageB=0.7s
2026-04-15T00:22:02.227Z,SOL/USDC,0.00834%,hi=ts=4,tickA=-24786,tickB=-24787,ageA=0.0s,ageB=0.7s
2026-04-15T00:22:02.391Z,SOL/USDC,0.00853%,hi=ts=4,tickA=-24786,tickB=-24787,ageA=0.0s,ageB=0.8s
2026-04-15T00:22:02.392Z,SOL/USDC,0.00994%,hi=ts=4,tickA=-24786,tickB=-24787,ageA=0.0s,ageB=0.8s
2026-04-15T00:22:02.413Z,SOL/USDC,0.01042%,hi=ts=4,tickA=-24786,tickB=-24787,ageA=0.0s,ageB=0.9s
2026-04-15T00:22:02.426Z,SOL/USDC,0.01202%,hi=ts=4,tickA=-24786,tickB=-24787,ageA=0.0s,ageB=0.9s
2026-04-15T00:22:02.443Z,SOL/USDC,0.01363%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=0.9s
2026-04-15T00:22:02.445Z,SOL/USDC,0.01381%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=0.9s
2026-04-15T00:22:02.473Z,SOL/USDC,0.01434%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=0.9s
2026-04-15T00:22:02.474Z,SOL/USDC,0.01506%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=0.9s
2026-04-15T00:22:02.499Z,SOL/USDC,0.01795%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=1.0s
2026-04-15T00:22:02.877Z,SOL/USDC,0.01801%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=1.3s
2026-04-15T00:22:04.569Z,SOL/USDC,0.01873%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=3.0s
2026-04-15T00:22:04.873Z,SOL/USDC,0.01947%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=3.3s
2026-04-15T00:22:05.533Z,SOL/USDC,0.01965%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=4.0s
2026-04-15T00:22:07.416Z,SOL/USDC,0.02107%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=5.9s
2026-04-15T00:22:07.426Z,SOL/USDC,0.02165%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=5.9s
2026-04-15T00:22:07.494Z,SOL/USDC,0.02172%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=5.9s
2026-04-15T00:22:07.596Z,SOL/USDC,0.02206%,hi=ts=4,tickA=-24785,tickB=-24787,ageA=0.0s,ageB=6.1s
2026-04-15T00:22:07.596Z,SOL/USDC,0.02492%,hi=ts=4,tickA=-24784,tickB=-24787,ageA=0.0s,ageB=6.1s
2026-04-15T00:22:08.109Z,SOL/USDC,0.02577%,hi=ts=4,tickA=-24784,tickB=-24787,ageA=0.0s,ageB=6.6s
2026-04-15T00:22:08.171Z,SOL/USDC,0.01230%,hi=ts=4,tickA=-24784,tickB=-24785,ageA=0.1s,ageB=0.0s
2026-04-15T00:22:08.621Z,SOL/USDC,0.01478%,hi=ts=4,tickA=-24784,tickB=-24785,ageA=0.0s,ageB=0.5s
2026-04-15T00:22:10.118Z,SOL/USDC,0.01693%,hi=ts=4,tickA=-24784,tickB=-24785,ageA=0.0s,ageB=1.9s
2026-04-15T00:22:10.236Z,SOL/USDC,0.01729%,hi=ts=4,tickA=-24784,tickB=-24785,ageA=0.0s,ageB=2.1s
2026-04-15T00:22:10.255Z,SOL/USDC,0.02004%,hi=ts=4,tickA=-24783,tickB=-24785,ageA=0.0s,ageB=2.1s
2026-04-15T00:22:11.431Z,SOL/USDC,0.02069%,hi=ts=4,tickA=-24783,tickB=-24785,ageA=0.0s,ageB=3.3s
2026-04-15T00:22:11.464Z,SOL/USDC,0.02580%,hi=ts=4,tickA=-24783,tickB=-24785,ageA=0.0s,ageB=3.3s
2026-04-15T00:22:11.494Z,SOL/USDC,0.03425%,hi=ts=4,tickA=-24782,tickB=-24785,ageA=0.0s,ageB=3.3s
2026-04-15T00:22:11.533Z,SOL/USDC,0.03960%,hi=ts=4,tickA=-24782,tickB=-24785,ageA=0.0s,ageB=3.4s
2026-04-15T00:22:12.231Z,SOL/USDC,0.02198%,hi=ts=4,tickA=-24782,tickB=-24784,ageA=0.7s,ageB=0.0s
2026-04-15T00:22:12.428Z,SOL/USDC,0.02606%,hi=ts=4,tickA=-24781,tickB=-24784,ageA=0.0s,ageB=0.2s
2026-04-15T00:22:12.436Z,SOL/USDC,0.02833%,hi=ts=4,tickA=-24781,tickB=-24784,ageA=0.0s,ageB=0.2s
2026-04-15T00:22:12.447Z,SOL/USDC,0.03074%,hi=ts=4,tickA=-24781,tickB=-24784,ageA=0.0s,ageB=0.2s
2026-04-15T00:22:12.466Z,SOL/USDC,0.01720%,hi=ts=4,tickA=-24781,tickB=-24782,ageA=0.0s,ageB=0.0s
2026-04-15T00:22:12.546Z,SOL/USDC,0.01786%,hi=ts=4,tickA=-24781,tickB=-24782,ageA=0.0s,ageB=0.1s
2026-04-15T00:22:12.703Z,SOL/USDC,0.01820%,hi=ts=4,tickA=-24781,tickB=-24782,ageA=0.0s,ageB=0.2s
2026-04-15T00:22:12.708Z,SOL/USDC,0.01880%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=0.2s
2026-04-15T00:22:12.910Z,SOL/USDC,0.01932%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=0.4s
2026-04-15T00:22:12.917Z,SOL/USDC,0.02032%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=0.5s
2026-04-15T00:22:13.019Z,SOL/USDC,0.02255%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=0.6s
